"",".id","team_id","jersey","player","pos","ht","yr","gp","gs","player_id"
"1","26172","26172","04","Amin, Ehab","G","6-4","Jr","31","31","1620841.0"
"2","26172","26172","34","Benjamin, York","F","6-8","Fr","0","0",NA
"3","26172","26172","05","Bloom, David","G","6-4","Jr","25","0","1620842.0"
"4","26172","26172","24","Bradley, Jamell","G","6-6","Fr","2","0","1844801.0"
"5","26172","26172","0","Brown, Kyle","G","5-10","Fr","24","0","1737700.0"
"6","26172","26172","10","Francois, Perry","F","6-8","Fr","31","3","1844798.0"
"7","26172","26172","20","Hale, Colin","G","6-1","Fr","25","0","1844800.0"
"8","26172","26172","42","Holcombe, Alex","F","6-8","Fr","22","0","1844803.0"
"9","26172","26172","03","Kilgore, Joseph","G","6-5","Jr","31","31","1620844.0"
"10","26172","26172","12","Kocher, Jake","G","6-3","Sr","30","15","1289301.0"
"11","26172","26172","01","Lightfoot, Marcus","","-","N/A","2","0","1893521.0"
"12","26172","26172","02","Martinez, Cole","G","6-3","Sr","25","11","1402240.0"
"13","26172","26172","14","Schmidt, Elijah","F","6-8","Fr","26","12","1844799.0"
"14","26172","26172","11","South, Kareem","G","6-2","Fr","31","24","1737702.0"
"15","26172","26172","25","Thomas, Rashawn","F","6-8","Sr","29","28","1510028.0"
"16","26172","26172","22","Toney, Emmanuel","G","6-2","Sr","0","0","1510027.0"
"17","2","2","4","Crnic, Jovan","G","6-5","Sr","13","11","1744196.0"
"18","2","2","15","Farquhar, Hayden","F","6-7","So","29","5","1744197.0"
"19","2","2","0","Franklin, Jaylen","G","6-2","So","26","26","1744194.0"
"20","2","2","21","Friday, Jalone","C","6-9","Fr","26","11","1847908.0"
"21","2","2","11","Green, Drake","G","6-3","Jr","27","19","1625911.0"
"22","2","2","23","Howell, Hayden","F","6-7","So","29","20","1744198.0"
"23","2","2","34","Kohl, Kolton","C","7-0","Fr","0","0",NA
"24","2","2","3","Langston, Diamante","G","6-2","Jr","25","4","1847905.0"
"25","2","2","14","Lenox, Trey","G","6-3","Fr","26","0","1847907.0"
"26","2","2","1","Lewis, Jaren","F","6-6","So","29","29","1744195.0"
"27","2","2","42","Martin, Jerod","G","6-1","Fr","0","0",NA
"28","2","2","02","Maxwell, B.J.","G","6-5","Fr","17","0","1847904.0"
"29","2","2","22","Reynolds, Jadon","G","6-1","Fr","5","0","1847909.0"
"30","2","2","5","Ricks, Payten","G","6-2","Fr","28","5","1847906.0"
"31","2","2","10","Tripp, Isaiah","G","6-1","Jr","29","15","1625908.0"
"32","721","721","23","Betts, Kobi","G","6-3","Fr","0","0",NA
"33","721","721","25","Broekhuis, Kyle","F","6-6","Sr","13","0","1514215.0"
"34","721","721","13","Brown, Lesean","G","6-2","Fr","13","0","1853695.0"
"35","721","721","41","Culp, Keegan","F","6-5","Fr","4","0","1853699.0"
"36","721","721","30","Dewane, Jonathan","F","6-8","Fr","10","0","1853697.0"
"37","721","721","35","Graham, Hayden","F","6-6","Sr","32","32","1514218.0"
"38","721","721","4","Hummer, Danny","G","6-0","So","1","0","1734763.0"
"39","721","721","5","Kocur, Zach","G","6-3","Sr","33","33","1514211.0"
"40","721","721","40","Leonard, Brendan","C","6-8","Jr","2","0","1621056.0"
"41","721","721","22","Louder, Pervis","G","6-2","So","24","1","1734764.0"
"42","721","721","20","Lyons, Trevor","G","6-3","Jr","33","18","1621051.0"
"43","721","721","32","Manning, Ryan","F","6-6","Jr","31","3","1621054.0"
"44","721","721","0","Morris, Caleb","G","6-3","Fr","13","0","1853691.0"
"45","721","721","1","Norman, Dane","G","6-7","So","21","1","1734766.0"
"46","721","721","31","Scheer, Garett","F","6-6","Fr","0","0",NA
"47","721","721","12","Scottie, Lavelle","F","6-6","Fr","33","3","1853694.0"
"48","721","721","2","Siples, CJ","G","6-3","Jr","30","8","1621047.0"
"49","721","721","43","Swan, Ryan","F","6-6","Fr","9","0","1853700.0"
"50","721","721","3","Tomes, Sid","G","6-4","Fr","17","4","1853692.0"
"51","721","721","33","Toohey, Frank","C","6-7","Jr","33","33","1621055.0"
"52","721","721","15","Van, Jacob","G","6-2","Jr","33","29","1621050.0"
"53","721","721","10","Wells, Nick","G","6-7","Fr","0","0",NA
"54","5","5","25","Anderson, Carlitos","G","6-1","Sr","2","0","1742422.0"
"55","5","5","02","Cheatham, Jr., Kwan","F","6-9","Sr","34","33","1511819.0"
"56","5","5","31","Dalton, Ty","G","6-4","Fr","0","0",NA
"57","5","5","11","Dunn-Martin, Tavian","G","5-8","Fr","34","1","1846990.0"
"58","5","5","5","Eubanks, Craig","G","6-4","Sr","4","0","1742423.0"
